trip_id,start_time,end_time,headway_secs,exact_times
6cd1aa6c-e482-47cc-9766-2b8c8d939e15,06:40:00,18:40:00,3600,0
f86a5f67-d347-4f07-a166-90841b9ad633,08:30:00,08:55:00,1500,0
db8129c9-afc4-43db-8423-320527ad6ea7,04:20:00,06:00:00,3000,0
fb48804c-a000-4032-be9c-313fabe60f24,09:00:00,18:00:00,3600,0
c8611f43-948a-4830-9572-7ee623ed538d,05:00:00,06:00:00,3600,0
2d469f82-ce49-4ea5-9008-34f283878461,06:21:00,06:30:00,540,0
a5252b18-4a3e-4140-9985-7917f37f0586,05:00:00,19:00:00,1200,0
e97419cc-9646-4951-be96-34b6a4c53d42,06:29:00,06:45:00,960,0
3c5393b0-d1a7-4675-8fb0-91251bffeedb,12:09:00,12:55:00,2760,0
6d7300cd-c586-4dd1-9720-f19be997a91d,20:56:00,21:40:00,2640,0
cec59047-3d87-420b-aad2-22d408cb8cd9,06:50:00,21:46:00,1920,0
0e2f15a2-d39b-425b-bfbd-642955eb9d7d,05:25:00,10:45:00,1200,0
98dad264-4963-4888-bc8e-12e04c571500,05:25:00,10:45:00,1200,0
f0acfdb5-49c4-4571-8e9c-7bb13d6d471d,07:22:00,07:46:00,1440,0
4f44a187-bfff-4047-8a32-4da32ae03840,14:27:00,15:00:00,1980,0
41172ecf-e007-4fc4-93a2-cc35383e42b4,08:17:00,09:03:00,1380,0
ef14cc34-31e5-4716-b531-60f8e1fc49aa,07:55:00,08:17:00,1320,0
48d89fa7-28ae-43b3-8e1e-d3e1442c7565,20:25:00,22:10:00,2100,0
cbda8004-6508-45d0-b60e-d18d3de208b9,07:39:00,08:07:00,1680,0
99a4632f-84e5-438a-bfbc-c0f1ffc164a5,05:39:00,05:49:00,600,0
f1068959-40db-49ed-9c0a-22ae3e8ec178,09:12:00,09:42:00,1800,0
0159144b-13e4-45af-b420-47cbb4d74328,14:38:00,14:56:00,1080,0
3bc440c8-fbb0-4b58-baf1-7c8ff989cf79,14:30:00,21:20:00,300,0
2bdeb3c0-8358-4820-9571-b8f004cb9806,17:48:00,17:55:00,420,0
19e7f0c3-8a64-4fbe-9ff6-088cb151058e,21:55:00,22:04:00,540,0
d033429f-50e0-4a34-b575-e0aa789a39b3,11:00:00,12:00:00,900,0
5f0f7b51-0f11-4141-8a68-ef207af671be,21:00:00,24:20:00,1200,0
304d42ea-1238-467d-b02a-05cb101ce766,19:15:00,19:38:00,1380,0
162dcbe9-a1e0-477a-a42a-c5a0a9a31d4b,06:49:00,07:00:00,660,0
0216cea3-8e20-4b76-baa8-2a39a56b14ab,19:40:00,20:16:00,1080,0
fae48056-f4e4-420b-9701-869472c4f258,12:20:00,15:20:00,720,0
9b4d0b28-08af-4f97-9b04-f11ffb3e8e54,21:13:00,22:25:00,4320,0
13f99c77-b00c-4636-8f9a-5fd75d56416b,10:00:00,12:20:00,1680,0
ffe24c97-9cad-44f6-8593-5f235163ac4e,12:55:00,13:10:00,900,0
e7297527-04d4-4ac3-a56a-087234295a5b,15:20:00,21:20:00,900,0
30d25a1c-ff09-4e9e-a014-34e64ab62cff,19:55:00,22:25:00,1800,0
bc23dbc4-28e0-405c-a866-6b90d044face,04:00:00,05:40:00,3000,0
a3fbdfdb-3ef1-40b0-ad22-f55f780c172a,07:20:00,10:40:00,1500,0
d5e8de7f-4d49-48d5-86e6-eeedec8cc9c1,03:40:00,06:00:00,1200,0
c23063cf-c5d1-4286-bc13-335380ac708c,12:00:00,15:00:00,900,0
f3125c39-26f2-465a-b2a2-302048e6692f,06:30:00,06:44:00,840,0
bff4eef5-32e2-4f8d-bbf7-c63fec4f7f71,19:35:00,21:13:00,2940,0
a5db876e-3429-44d7-9c0c-627699f72a63,10:44:00,11:19:00,2100,0
167e0ccd-7c9a-444d-b8b8-74f8fc7f3feb,07:00:00,07:30:00,1800,0
9b46c2f6-a369-4e67-b96d-201346ba5288,12:04:00,12:18:00,840,0
c057c476-ca5d-44e5-9cb7-c09316e208cd,13:42:00,14:14:00,960,0
ee969193-5a22-4bf7-bb8e-7ec6d9c74778,20:00:00,21:20:00,2400,0
293af3f9-dab3-4d55-b0dc-83541149bccd,10:01:00,10:04:00,180,0
72d1ea6d-5dfe-4923-8bd6-777aa64f26d3,14:50:00,21:40:00,300,0
5b8cd8a5-6254-4a9d-b696-3486d7915197,17:29:00,17:35:00,360,0
4ba33238-d077-4eb2-a033-54c777cacf70,14:26:00,14:33:00,420,0
bc5c3008-0cf1-4b1a-8625-e3d08ea8c208,15:40:00,15:50:00,600,0
5b35fab4-0205-46b5-8b5f-e440db2f6692,17:20:00,17:36:00,960,0
e406abde-2f66-4078-9a55-c94b559ad640,04:59:00,05:13:00,420,0
eccdc21e-c556-4439-b9f9-9ec5dfbf371e,10:18:00,10:24:00,360,0
c2014940-1d9b-41b3-a233-82fea24286b1,10:45:00,22:30:00,900,0
731e17d9-62dc-4a1f-b5a9-e71d3061c078,09:10:00,20:25:00,1500,0
be3e5f7a-4b7c-476c-a24c-76e404941d5f,08:44:00,08:55:00,660,0
b1cb5973-07a5-4e81-b100-ede1ae97faf2,10:45:00,12:00:00,900,0
205aa33e-ca35-4a96-bba8-fda1e2968f6f,09:24:00,09:30:00,360,0
86cf4320-03c6-4878-964d-9d1d96cdf23d,12:36:00,12:40:00,240,0
af0620d6-be47-437f-a688-3583632ef5ba,06:52:00,07:55:00,1260,0
3e610dd7-b55e-4be1-8f87-f9d27340f0d8,18:40:00,20:10:00,900,0
8fc196da-08ba-407e-a96f-ab51a4c0f1ec,09:03:00,09:23:00,1200,0
e8b529c3-8bcb-4828-b9dd-a1d16be7e64e,15:00:00,19:00:00,1800,0
821a256a-29e6-4816-bb97-d7146150a962,11:55:00,15:55:00,3600,0
a44cefb9-b8c5-48a9-aecd-f0f4fd39819a,08:12:00,08:24:00,720,0
8be7d100-9561-423c-9f5b-e772d240ee85,06:44:00,06:54:00,600,0
ac473c9b-d1fd-4071-8d1c-7db476474dfe,21:00:00,21:26:00,780,0
ad9492e6-c713-4d13-b4e9-cea3d0863c25,14:14:00,14:53:00,2340,0
b4c9a047-8958-4db7-988b-54d2a5c7c65a,09:30:00,09:45:00,900,0
995a241f-93db-4c69-a44c-36fe7e793e61,17:47:00,19:15:00,1320,0
d661d07c-73df-42f6-809d-3ade3122224a,18:25:00,19:19:00,1080,0
ff0dddca-dddf-4d78-9b7a-b3a185ac0af8,21:30:00,21:52:00,660,0
94d9b27b-a4b9-46ef-a41e-58b4c614c018,06:00:00,09:24:00,720,0
9ebaf5bc-1ab7-4403-8453-76632a26de52,04:00:00,06:00:00,1800,0
d88cb6f1-79e5-416f-a850-423e60d2d9ca,04:23:00,04:34:00,660,0
74fb2767-be0a-41f1-812b-0e5629e8edb8,19:00:00,20:00:00,1800,0
ce129fc9-2803-43ef-a2c3-6687cd73e60a,06:40:00,08:00:00,600,0
58b4fa50-13f4-4dab-ae07-10b43956ac3d,05:12:00,05:25:00,780,0
a92b5584-c16f-47a4-b6ce-5fea21b0dcae,04:00:00,22:00:00,3600,0
53f07a7b-2b38-4bc1-8a69-2822e26a1f84,09:16:00,10:00:00,1320,0
2cd0ed02-ebd9-4a6f-b55d-8e6906e168d9,15:05:00,15:30:00,1500,0
79fdcbb1-34e4-4faa-993c-4a71d3e17662,10:16:00,10:21:00,300,0
18b82aac-9219-4c02-a98f-e718a4693e16,16:21:00,16:26:00,300,0
604c3281-f0c1-481b-9c8a-f42624ca6556,18:32:00,18:42:00,600,0
cc5fa105-7f3b-4cd3-ad53-b066f88eeaed,03:50:00,05:50:00,3600,0
60c4214d-0a1a-4d30-bc7f-d7295d3b9df9,09:30:00,09:41:00,660,0
5157f472-8e0b-40a5-bc02-74176fecb283,12:26:00,12:35:00,540,0
d06d7bba-5348-4513-8543-d93258eb263e,14:33:00,14:37:00,240,0
72726caa-e331-4efc-8137-dbcfdeaae9d3,18:55:00,19:40:00,900,0
d6df65eb-b0c9-4101-8731-18819f3b82b2,07:20:00,07:35:00,900,0
6c3afe8b-e88e-4057-91be-5d9a691bcc89,06:00:00,22:40:00,1200,0
4fc2d01a-8f65-4b19-a14d-b862f9f38969,09:02:00,10:32:00,2700,0
29288660-1ca1-4cf6-a5f1-c6e57a99f3ac,10:06:00,10:59:00,3180,0
63cd4c17-c126-413a-aa3d-8874c965419e,05:17:00,05:45:00,1680,0
2003e0c4-27a9-4839-a00d-6e57f3b4167a,14:28:00,14:40:00,720,0
a6862c8c-0eb6-4c59-b13b-fc484e2f79ab,06:17:00,06:31:00,840,0
a43b375b-af88-4740-90a5-44f9369a61f4,06:40:00,06:57:00,1020,0
8f35096a-7298-4397-94a8-68f1a6d8c744,05:00:00,16:40:00,3000,0
