trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id
5b5da2ea-00bb-48ab-91a5-fe71b0462785,O0805AAA0A,S_REG,Jardim Oceânico,805,0,0piv
87107455-eeea-4bc1-8cf3-5084a0381ae7,O0613AAA0A,U_REG,Metrô Del Castilho,613,0,fu9d
2904c15b-78a9-4106-abc6-6f819fa4e665,O0326AAA0A,S_REG,Bancários,326,1,mirr
660f3563-7ee2-410b-b57d-d481cd433e10,O0805AAA0A,S_REG,Terminal Alvorada,805,1,vy32
d3d767f6-2cde-46c7-a81a-88117eee7d83,O0326AAA0A,S_REG,Bancários,326,1,mirr
ef071fca-2cee-424c-8144-8b29532c2742,O0326AAA0A,S_REG,Bancários,326,1,mirr
46417223-9b1e-41d9-8c1e-2aa5813ef80f,O0326AAA0A,S_REG,Bancários,326,1,mirr
e7d4a6ea-308c-4e10-aa83-e3d9e0b5d87e,O0905AAA0A,D_REG,Bonsucesso,905,0,O0905AAA0AIDU01
3286f7ca-ce5c-48fa-aa3e-592430d13625,O0315AAA0A,S_REG,Central,315,1,4rzh
b050d05c-0c01-4ede-900a-6086718b3947,O0315AAA0A,S_REG,Central,315,1,4rzh
